chapter,source,category,count
27,OpenStax,other,6
27,OpenStax,reaction_mechanism,6
28,ChemIllusion,callout,20
28,ChemIllusion,image,7
28,ChemIllusion,molecular_structure,20
28,ChemIllusion,reaction_mechanism,2
28,OpenStax,biological_context,1
28,OpenStax,data_table,1
28,OpenStax,molecular_property_model,1
28,OpenStax,molecular_structure,3
28,OpenStax,other,5
29,ChemIllusion,callout,20
29,ChemIllusion,data_table,1
29,ChemIllusion,image,2
29,ChemIllusion,molecular_geometry,1
29,ChemIllusion,molecular_structure,5
29,ChemIllusion,reaction,20
29,ChemIllusion,reaction_mechanism,7
29,ChemIllusion,teaching_asset,8
29,OpenStax,molecular_structure,2
29,OpenStax,other,2
29,OpenStax,reaction_mechanism,14
30,ChemIllusion,atomic_orbital,6
30,ChemIllusion,callout,20
30,ChemIllusion,data_table,6
30,ChemIllusion,energy_diagram,1
30,ChemIllusion,molecular_geometry,5
30,ChemIllusion,molecular_structure,12
30,ChemIllusion,reaction,3
30,ChemIllusion,reaction_mechanism,3
30,ChemIllusion,teaching_asset,2
30,OpenStax,atomic_orbital,4
30,OpenStax,data_table,4
30,OpenStax,molecular_geometry,1
30,OpenStax,other,11
30,OpenStax,reaction_mechanism,1
31,ChemIllusion,callout,20
31,ChemIllusion,data_table,4
31,ChemIllusion,image,7
31,ChemIllusion,molecular_geometry,2
31,ChemIllusion,molecular_structure,18
31,ChemIllusion,reaction,2
31,ChemIllusion,reaction_mechanism,12
31,OpenStax,data_table,2
31,OpenStax,molecular_geometry,1
31,OpenStax,other,6
31,OpenStax,reaction_mechanism,1
